Bacia,Poço,COT,S1,S2,S3,Tmax,HI,OI
Alagoas,1-JA-1-AL           ,1.11,0.34,1.71,0.23,438.0,154.05,20.72
Alagoas,1-JA-1-AL           ,1.01,0.14,1.1,0.22,436.0,108.91,21.78
Alagoas,1-JA-1-AL           ,0.79,,,,,,
Alagoas,1-JA-1-AL           ,1.1,0.23,0.91,0.28,437.0,82.73,25.45
Alagoas,1-JA-1-AL           ,1.43,0.27,3.76,0.33,436.0,262.94,23.08
Alagoas,1-JA-1-AL           ,1.25,0.21,1.8,0.25,436.0,144.0,20.0
Alagoas,1-JA-1-AL           ,1.68,0.2,4.88,0.36,431.0,290.48,21.43
Alagoas,1-JA-1-AL           ,1.62,0.15,3.45,0.43,432.0,212.96,26.54
Alagoas,1-JA-1-AL           ,1.2,0.36,2.37,0.35,436.0,197.5,29.17
Alagoas,1-JA-1-AL           ,1.06,0.28,1.97,0.3,437.0,185.85,28.3
Alagoas,1-JA-1-AL           ,0.96,0.23,1.12,0.28,441.0,116.67,29.17
Alagoas,1-JA-1-AL           ,1.47,0.6,1.34,0.37,439.0,91.16,25.17
Alagoas,1-JA-1-AL           ,1.39,0.5,1.67,0.37,437.0,120.14,26.62
Alagoas,1-JA-1-AL           ,1.69,0.58,3.2,0.46,434.0,189.35,27.22
Alagoas,1-JA-1-AL           ,1.7,0.91,2.94,0.57,434.0,172.94,33.53
Alagoas,1-JA-1-AL           ,1.4,0.67,1.43,0.49,439.0,102.14,35.0
Alagoas,1-JA-1-AL           ,0.93,0.44,0.13,0.39,,13.98,41.94
Alagoas,1-JA-1-AL           ,0.97,0.58,0.38,0.31,337.0,39.18,31.96
Alagoas,1-JA-1-AL           ,1.12,0.31,0.38,0.32,436.0,33.93,28.57
Alagoas,1-JA-1-AL           ,1.18,0.58,0.69,0.41,434.0,58.47,34.75
Alagoas,1-JA-1-AL           ,1.09,0.63,0.58,0.33,432.0,53.21,30.28
Alagoas,1-JA-1-AL           ,1.06,0.77,0.17,0.27,,16.04,25.47
Alagoas,1-JA-1-AL           ,1.12,0.56,0.31,0.28,439.0,27.68,25.0
Alagoas,1-JA-1-AL           ,1.0,0.09,0.04,0.32,,4.0,32.0
Alagoas,1-JA-1-AL           ,1.07,0.67,0.25,0.25,,23.36,23.36
Alagoas,1-JA-1-AL           ,1.1,0.68,0.21,0.28,,19.09,25.45
Alagoas,1-JA-1-AL           ,0.98,0.63,0.33,0.26,343.0,33.67,26.53
Alagoas,1-JA-1-AL           ,0.83,,,,,,
Alagoas,1-JA-1-AL           ,0.97,0.56,0.41,0.22,344.0,42.27,22.68
Alagoas,1-JA-1-AL           ,1.04,0.7,0.14,0.25,,13.46,24.04
Alagoas,1-JA-1-AL           ,0.95,0.47,0.28,0.26,342.0,29.47,27.37
Alagoas,1-JA-1-AL           ,0.99,0.18,0.1,0.23,,10.1,23.23
Alagoas,1-JA-1-AL           ,0.88,,,,,,
Alagoas,1-JA-1-AL           ,0.87,,,,,,
Alagoas,1-JA-1-AL           ,1.24,0.41,1.13,0.28,431.0,91.13,22.58
Alagoas,1-JA-1-AL           ,1.26,0.35,0.67,0.25,441.0,53.17,19.84
Alagoas,1-JA-1-AL           ,1.08,0.14,0.46,0.26,439.0,42.59,24.07
Alagoas,1-JA-1-AL           ,1.15,0.36,0.68,0.24,438.0,59.13,20.87
Alagoas,1-JA-1-AL           ,1.06,0.27,0.38,0.33,431.0,35.85,31.13
Alagoas,1-JA-1-AL           ,1.01,0.14,0.79,0.26,435.0,78.22,25.74
Alagoas,1-JA-1-AL           ,1.21,0.2,0.7,0.22,438.0,57.85,18.18
Alagoas,1-JA-1-AL           ,0.68,,,,,,
Alagoas,1-JA-1-AL           ,0.62,,,,,,
Alagoas,1-JA-1-AL           ,0.65,,,,,,
Alagoas,1-JA-1-AL           ,0.59,,,,,,
Alagoas,1-JA-1-AL           ,0.48,,,,,,
Alagoas,1-JA-1-AL           ,0.47,,,,,,
Alagoas,1-JA-1-AL           ,0.47,,,,,,
Alagoas,1-JA-1-AL           ,0.44,,,,,,
Alagoas,1-JA-1-AL           ,0.38,,,,,,
Alagoas,1-JA-1-AL           ,0.41,,,,,,
Alagoas,1-JA-1-AL           ,0.79,,,,,,
Alagoas,1-JA-1-AL           ,1.11,0.01,0.53,0.58,437.0,47.75,52.25
Alagoas,1-JA-1-AL           ,0.33,,,,,,
Alagoas,1-JA-1-AL           ,0.77,,,,,,
Alagoas,1-JA-1-AL           ,0.44,,,,,,
Alagoas,1-JA-1-AL           ,4.28,0.42,34.8,0.91,434.0,813.08,21.26
Alagoas,1-JA-1-AL           ,1.03,,2.46,0.26,433.0,238.83,25.24
Alagoas,1-JA-1-AL           ,0.5,,,,,,
Alagoas,1-JA-1-AL           ,0.38,,,,,,
Alagoas,1-JA-1-AL           ,0.49,,,,,,
Alagoas,1-JA-1-AL           ,0.51,,,,,,
Alagoas,1-JA-1-AL           ,0.69,,,,,,
Alagoas,1-JA-1-AL           ,0.87,,,,,,
Alagoas,1-JA-1-AL           ,0.72,,,,,,
Alagoas,1-JA-1-AL           ,1.02,0.14,2.0,0.35,441.0,196.08,34.31
Alagoas,1-JA-1-AL           ,1.28,0.15,2.49,0.3,442.0,194.53,23.44
Alagoas,1-JA-1-AL           ,1.19,0.07,2.17,0.38,446.0,182.35,31.93
Alagoas,1-JA-1-AL           ,1.0,0.05,2.02,0.15,442.0,202.0,15.0
Alagoas,1-JA-1-AL           ,0.13,,,,,,
Alagoas,1-JA-1-AL           ,1.12,0.14,2.54,0.36,443.0,226.79,32.14
Alagoas,1-JA-1-AL           ,3.04,0.62,7.31,0.28,439.0,240.46,9.21
Alagoas,1-JA-1-AL           ,1.02,0.78,2.0,0.28,441.0,196.08,27.45
Alagoas,1-JA-1-AL           ,0.72,,,,,,
Alagoas,1-JA-1-AL           ,0.22,,,,,,
Alagoas,1-JA-1-AL           ,0.82,,,,,,
Alagoas,1-JA-1-AL           ,0.46,,,,,,
Alagoas,1-JA-1-AL           ,0.64,,,,,,
Alagoas,1-JA-1-AL           ,0.81,,,,,,
Alagoas,1-JA-1-AL           ,0.5,,,,,,
Alagoas,1-JA-1-AL           ,0.34,,,,,,
Alagoas,1-JA-1-AL           ,0.41,,,,,,
Alagoas,1-JA-1-AL           ,0.78,,,,,,
Alagoas,1-JA-1-AL           ,1.07,,,0.07,,,6.54
Alagoas,1-JA-1-AL           ,0.78,,,,,,
Alagoas,1-JA-1-AL           ,0.81,,,,,,
Alagoas,1-JA-1-AL           ,0.34,,,,,,
Alagoas,1-JA-1-AL           ,0.33,,,,,,
Alagoas,3-JA-2-AL           ,1.83,0.24,7.03,0.7,433.0,384.15,38.25
Alagoas,3-JA-2-AL           ,1.08,0.3,3.49,0.51,433.0,323.15,47.22
Alagoas,3-JA-2-AL           ,3.1,0.27,16.1,1.01,430.0,519.35,32.58
Alagoas,3-JA-2-AL           ,1.32,0.2,3.32,0.63,432.0,251.52,47.73
