Poço,Profundidade,COT,S1,S2,S3,Tmax,Ro,IH,IO
1-BRSA-91-ESS,4853.00,0.96,1.86,2.14,3.39,422.00,,222.92,353.13
1-BRSA-91-ESS,4856.00,0.97,1.84,1.87,3.18,421.00,,192.78,327.84
1-BRSA-91-ESS,4859.00,0.83,,,,,,,
1-BRSA-91-ESS,4862.00,0.80,,,,,,,
1-BRSA-91-ESS,4865.00,0.58,,,,,,,
1-BRSA-91-ESS,4868.00,0.51,,,,,,,
1-BRSA-91-ESS,4871.00,0.56,,,,,,,
1-BRSA-91-ESS,4874.00,0.63,,,,,,,
1-BRSA-91-ESS,4877.00,0.43,,,,,,,
1-BRSA-91-ESS,4880.00,0.46,,,,,,,
1-BRSA-91-ESS,4883.00,0.50,,,,,,,
1-BRSA-91-ESS,4886.00,0.47,,,,,,,
1-BRSA-91-ESS,4889.00,0.48,,,,,,,
1-BRSA-91-ESS,4892.00,0.47,,,,,,,
1-BRSA-91-ESS,4895.00,0.44,,,,,,,
1-BRSA-91-ESS,4898.00,0.52,,,,,,,
1-BRSA-91-ESS,4901.00,0.48,,,,,,,
1-BRSA-91-ESS,4904.00,0.58,,,,,,,
1-BRSA-91-ESS,4907.00,0.52,,,,,,,
1-BRSA-91-ESS,4910.00,0.67,,,,,,,
1-BRSA-91-ESS,4913.00,0.61,,,,,,,
1-BRSA-91-ESS,4916.00,0.59,,,,,,,
1-BRSA-91-ESS,4919.00,0.57,,,,,,,
1-BRSA-91-ESS,4922.00,0.52,,,,,,,
1-BRSA-91-ESS,4925.00,0.48,,,,,,,
1-BRSA-91-ESS,4928.00,0.40,,,,,,,
1-BRSA-91-ESS,4931.00,0.44,,,,,,,
1-BRSA-91-ESS,4934.00,0.40,,,,,,,
1-BRSA-91-ESS,4937.00,0.39,,,,,,,
1-BRSA-91-ESS,4940.00,0.39,,,,,,,
1-BRSA-91-ESS,4943.00,0.42,,,,,,,
1-BRSA-91-ESS,4945.00,0.49,,,,,,,
1-BRSA-136-ESS,2961.70,0.96,1.51,2.86,4.19,400.00,,297.92,436.46
1-BRSA-136-ESS,2964.00,0.83,1.01,2.36,3.79,406.00,,284.00,456.08
1-BRSA-136-ESS,2967.30,0.84,0.96,2.24,3.79,406.00,,266.67,451.19
1-BRSA-136-ESS,2976.00,1.16,1.80,3.65,3.86,403.00,,314.66,332.76
1-BRSA-136-ESS,2947.00,1.04,1.56,2.86,3.27,408.00,,275.00,314.42
1-BRSA-136-ESS,2950.00,1.19,1.95,3.24,3.78,407.00,,272.27,317.65
1-BRSA-136-ESS,2953.00,1.32,2.06,3.74,3.42,408.00,,283.33,259.09
1-BRSA-136-ESS,2956.00,1.57,2.71,4.71,3.15,300.00,,300.00,200.64
1-BRSA-136-ESS,2959.00,1.49,2.69,4.47,3.38,298.00,,300.00,226.85
1-BRSA-136-ESS,2962.00,1.09,1.78,3.31,4.45,400.00,,303.67,408.26
1-BRSA-136-ESS,2965.00,0.83,0.94,2.16,3.86,405.00,,260.24,465.06
1-BRSA-136-ESS,2968.00,0.83,0.96,2.31,3.75,409.00,,278.31,451.81
1-BRSA-136-ESS,2971.00,1.26,2.14,3.94,3.96,391.00,,312.70,314.29
1-BRSA-136-ESS,2974.00,1.22,1.99,3.87,4.00,400.00,,317.21,327.87
1-BRSA-136-ESS,2977.00,1.22,2.01,3.90,4.00,400.00,,319.67,327.87
1-BRSA-136-ESS,2980.00,1.07,1.68,3.37,3.85,402.00,,314.95,359.81
1-BRSA-136-ESS,2983.00,1.10,1.66,3.41,3.92,402.00,,310.00,356.36
1-BRSA-136-ESS,2986.00,1.20,1.93,3.65,4.20,393.00,,304.17,350.00
1-BRSA-136-ESS,2989.00,1.32,2.22,4.35,4.04,399.00,,329.55,306.06
1-BRSA-136-ESS,2992.00,1.37,2.33,4.26,4.24,391.00,,310.95,309.49
1-BRSA-136-ESS,2995.00,1.22,1.88,3.96,3.84,402.00,,324.59,314.75
1-BRSA-136-ESS,2998.00,1.21,1.85,3.72,4.03,400.00,,307.44,333.06
1-BRSA-136-ESS,3001.00,1.47,2.55,4.35,4.53,386.00,,295.92,308.16
